line_number,start_stop,end_stop
239,Wołowice Kapliczka,Os. Podwawelskie
171,Wróżenice,Pleszów
701,Wzgórza Krzesławickie,Czyżyny Dworzec
742,Wzgórza Krzesławickie,Kombinat
218,Zabierzów Młyn,Bronowice Małe
138,Zajezdnia Bieńczyce,Azory
601,Zajezdnia Bieńczyce,Mydlniki Wapiennik P+R
601,Zajezdnia Nowa Huta,Mydlniki Wapiennik P+R
4,Zajezdnia Nowa Huta,Bronowice Małe
128,Zajezdnia Płaszów,Prądnik Czerwony
107,Zajezdnia Wola Duchacka,Soboniowice
155,Zajezdnia Wola Duchacka,Swoszowice SKA
164,Zajezdnia Wola Duchacka,Bronowice Małe
164,Zajezdnia Wola Duchacka,Mydlniki Wapiennik P+R
169,Zajezdnia Wola Duchacka,Prądnik Biały Wschód
198,Zakole,Mistrzejowice
250,Zastów Pętla,Prądnik Czerwony
270,Zastów Pętla,Prądnik Czerwony
248,Zelków Pętla,Bronowice Małe
948,Zelków Pętla,Bronowice Małe
122,Zesławice,Aleja Przyjaźni
122,Zesławice,Darwina
422,Zesławice,Aleja Przyjaźni
287,Zielonki Marszowiec Pętla,Krowodrza Górka P+R
425,Złocień,Mały Płaszów P+R
605,Złocień,Teatr Słowackiego
134,ZOO,Cracovia Stadion
134,ZOO,Salwator
